노량진역(2)	37.513574	126.940826	0
맥도날드(주)	37.513433	126.943538	0
사당2동 주민센터 화장	37.488712	126.979253	1
동작(1)	37.503067	126.977937	0
국립서울현충원 봉안식장	37.499824	126.978408	1
현충근린공원(극동아파트	37.493737	126.973937	0
남문화장실	37.494892	126.919491	1
노량진역(3)	37.513574	126.940826	0
국립서울현충원 제2충혼	37.499214	126.973877	1
동작구청	37.512528	126.939942	1
노들나루	37.514531	126.952430	1
국립서울현충원 경찰탑화	37.499824	126.978408	0
간이화장실_노량진근린공	37.507752	126.926736	0
동작구시설관리공단	37.497236	126.927896	0
살피재주유소	37.498360	126.951389	1
흑석동 주민센터	37.505777	126.966593	1
사당4동 청소년 독서실	37.480469	126.973101	0
상도2동주민센터 화장실	37.505468	126.942301	1
상도4동 청소년독서실	37.500183	126.933686	0
사자암 공중화장실	37.492433	126.936978	0
간이화장실_까치산근린공	37.486550	126.963734	0
본동 공중화장실	37.508325	126.953767	0
남성사계시장 공중화장실	37.488342	126.979389	0
까망돌도서관	37.505120	126.960611	1
노량진근린공원 관리사무	37.510853	126.929588	1
동문화장실	37.494892	126.919491	1
신대방2동주민센터	37.498413	126.924544	1
상도1동 주민센터	37.498101	126.953081	1
국립서울현충원 유격대화	37.499214	126.973877	0
간이화장실_노들나루공원	37.514531	126.952430	0
노량진역(2)	37.513574	126.940826	0
한주실업빌딩(이그잼)	37.513407	126.943958	1
숭실대입구역(7)	37.496286	126.953885	0
현대오일뱅크사당셀프주유	37.483120	126.981531	1
사당역(2)	37.476523	126.981409	0
간이화장실_현충근린공원	37.479124	126.981271	0
남부수도사업소 본관화장	37.492415	126.915400	1
상도근린공원(중앙하이츠	37.496471	126.948063	0
SK엔크린 살피재주유소	37.498360	126.951389	0
장승배기역(7)	37.505275	126.942582	0
간이화장실_벽천_성남고	37.507752	126.926736	0
국립서울현충원 YTL화	37.499824	126.978408	0
국립서울현충원 충혼당	37.499214	126.973877	1
노량진역(1)	37.513574	126.940826	0
간이화장실_상도근린공원	37.492436	126.943323	1
노들나루공원(야외무대 	37.514531	126.952430	0
유창빌딩	37.483674	126.975871	1
현대자동차정비	37.505067	126.943799	1
SK엔크린 동주충전소	37.499364	126.928763	0
흑석종합사회복지관	37.509708	126.959402	1
도림천 공중화장실	37.486526	126.910140	1
사당1동 주민센터 화장	37.483105	126.978778	1
현충근린공원(동작동_학	37.492815	126.965819	0
창원 ENG	37.494936	126.961446	0
청화병원	37.507142	126.940241	1
동작영어마루도서관	37.509204	126.943432	1
효사정 공중화장실	37.511382	126.961657	0
삼성생명 사당빌딩	37.479618	126.981357	1
신동아리버파크 상가	37.507072	126.945718	1
간이화장실_현충근린공원	37.499685	126.957503	0
상도1동 공중화장실	37.503878	126.950211	0
국사봉 공중화장실	37.495326	126.940715	0
현대오일뱅크동작주유소	37.493472	126.956435	1
동작샘터도서관	37.488387	126.977546	0
신대방1동주민센터	37.488945	126.910039	1
동작(2)	37.503067	126.977937	0
상도1동 주민센터 화장	37.498101	126.953081	1
사당역(2)	37.476523	126.981409	0
국립서울현충원 선양단지	37.499824	126.978408	1
노량진근린공원 관리사무	37.510853	126.929588	1
국립서울현충원 민원안내	37.499214	126.973877	1
남부수도사업소 본관화장	37.492415	126.915400	0
노량진근린공원 대방잔디	37.507752	126.926736	1
노량진근린공원 고구동산	37.508325	126.953767	1
김영삼도서관	37.505474	126.949967	1
사당역(4)	37.476863	126.981595	0
동작관악교육지원청	37.502716	126.940827	1
상도3동 주민센터	37.499126	126.931404	1
중앙대학교 병원	37.506038	126.960422	1
상도2동주민센터	37.505468	126.942301	1
사당솔밭도서관	37.484051	126.967366	1
현충근린공원(유아숲체험	37.499685	126.957503	0
사당4동 주민센터	37.480976	126.971634	1
사당문화회관	37.487665	126.966767	1
노들역	37.512779	126.953064	0
사당5동주민센터	37.485663	126.966979	1
동작구청	37.512528	126.939942	1
삼일공원_경로당	37.485910	126.974625	1
노량진1동주민센터	37.512301	126.941994	1
국립서울현충원 임시정부	37.499824	126.978408	0
국립서울현충원 유공자화	37.499214	126.973877	0
약수도서관	37.497885	126.947456	1
사당1동 주민센터	37.483105	126.978778	1
신동아리버파크상가	37.507072	126.945718	1
간이화장실_까치산근린공	37.482293	126.962385	1
동광교회	37.501853	126.934909	1
대방동주민센터 화장실	37.508154	126.926323	1
사당역(4)	37.476863	126.981595	0
간이화장실_노량진근린공	37.508819	126.944080	0
국립서울현충원 봉안식장	37.499214	126.973877	1
동작삼일수영장	37.487665	126.966767	0
사당자이아파트 상가	37.488373	126.963417	0
국립서울현충원 이대묘화	37.499824	126.978408	0
신대방역(2)	37.487576	126.913176	0
동작구민회관	37.493882	126.922660	0
간이화장실_상도근린공원	37.493350	126.942007	0
보라매 2호(어린이놀이	37.491578	126.917898	1
사당4동주민센터 화장실	37.480976	126.971634	1
sk네트워크 흑석동주유	37.508100	126.965239	1
주차공원 공중화장실	37.503067	126.977937	1
간이화장실_현충근린공원	37.498741	126.962168	0
주차공원 공중화장실	37.503067	126.977937	1
대림프라자	37.484102	126.974315	0
사당어르신종합복지관	37.477017	126.979852	1
이수교 공중화장실	37.499126	126.984275	1
절고개 공중화장실	37.507169	126.951801	0
사당역(2)	37.476114	126.973389	0
오송빌딩	37.489238	126.982053	0
유한양행	37.512758	126.934027	1
숭실대입구역(7)	37.495826	126.954053	0
믿음가득 매일주유소	37.502863	126.935181	1
보라매 4호(정문)	37.495334	126.918613	1
현충원 공중화장실	37.504696	126.975315	1
현대오일뱅크 동작주유소	37.493472	126.956435	0
동작역(4)	37.502870	126.980268	0
사당1동주민센터	37.483105	126.978778	1
동작아트갤러리 화장실	37.493793	126.923108	1
기독교TV멀티미디어센터	37.512969	126.937003	1
열림교회	37.508403	126.926469	0
효사정 공중화장실	37.511254	126.961626	0
우성스포츠센터	37.492260	126.909960	1
흑석(중앙대입구)역	37.509085	126.963570	0
현충근린공원(사당동_상	37.492584	126.972857	0
흑석 청소년독서실	37.508505	126.961938	0
